Cultivo,Campaña,Zona,Sembrado (Ha),Perdído(Ha),Cosechado(Ha),Rinde(qq/Ha),Producción(MTn),,
Soja,2012/2013,XI,402360,14543,387817,15.6,604219,,
Soja,2012/2013,XII,1296279,48477,1247802,19.5,2434951,,
Soja,2012/2013,XIII,150279,7756,142523,17.1,244227,,
Soja,2012/2013,XIV,208452,8726,199726,24,479142,,
Soja,2012/2013,XV,58173,5817,52355,16.7,87433,,
Soja,2012/2013,TOTAL,19100000,720000,18380000,25.3,46509071,,
Soja,2013/2014,I,1064395,92880,971515,21.8,2118747,,
Soja,2013/2014,II,1596110,58900,1537210,26,3995857,,
Soja,2013/2014,III,2185725,39600,2146125,31.8,6830285,,
Soja,2013/2014,IV,1437850,82200,1355650,29.9,4058474,,
Soja,2013/2014,V,1119400,58900,1060500,30,3178118,,
Soja,2013/2014,VI,3435400,107325,3328075,32.6,10837137,,
Soja,2013/2014,VII,2702000,91850,2610150,31.4,8205479,,
Soja,2013/2014,VIII,1186950,48230,1138720,25.1,2860035,,
Soja,2013/2014,IX,1601900,58900,1543000,26.1,4025019,,
Soja,2013/2014,X,550050,58840,491210,24,1179104,,
Soja,2013/2014,XI,482500,39420,443080,13.6,602222,,
Soja,2013/2014,XII,1534350,78180,1456170,18.7,2720003,,
Soja,2013/2014,XIII,159225,19300,139925,20.2,283138,,
Soja,2013/2014,XIV,195895,10650,185245,28.7,531119,,
Soja,2013/2014,XV,48250,4825,43425,17.4,75698,,
Soja,2013/2014,TOTAL,19300000,850000,18450000,27.9,51500436,,
Soja,2014/2015,I,900000,30000,870000,24,2088000,,
Soja,2014/2015,II,1500000,70000,1430000,20,2854280,,
Soja,2014/2015,III,2200000,65000,2135000,38.1,8134564,,
Soja,2014/2015,IV,1700000,45000,1655000,34.6,5726300,,
Soja,2014/2015,V,1300000,80000,1220000,33,4027105,,
Soja,2014/2015,VI,3270000,150000,3120000,41.6,12991514,,
